label_Current_Teacher,CNTLNUM_T,SCHCNTL,CNTLNUM_P,vacnc_difficult_STEM_Yes,number_of_dependents,region_Northeast,region_West,marital_status_Married,race_t_White,race_t_Black,race_t_Hispanic,gender_t_Female,summer_teaching_Yes,nonteaching_job_Yes,nonschool_job_Yes,extracur_act_Yes,merit_pay_Yes,union_member_Yes,BA_major_code_STEM,MA_major_code_STEM,main_tch_fields_cert_type_Regular,MA_deg_Yes,pd_time,pd_finance,remain_in_teaching,STEM_teaching_field,STEM_hours_taught,public_ft_exp,public_pt_exp,private_ft_exp,class_org,main_teaching_lastyr_Same_as_thisyr,ft_pt_status_FT,teaches_ungraded_Yes,teaches_7_to_12,new_teacher_Yes,percent_minority_students,FRPL_eligible_k_12_students,student_teacher_ratio,sch_type,level_Elementary,urbanicity,title_I_receive_students_Yes,age_p,salary,yrs_princpl_this_sch,yrs_princpl_oth_schls,yrs_tchng_before_princpl,yrs_tchng_since_princpl,deg_highest_P,race_p_Black,race_p_White,race_p_Hispanic,gender_p_Female,incentives_pay,incentives_recruit_NonSTEM
0,118221,100289,108997,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0,0,14,0,0,1,1,1,0,1,0,2,3,13.21,1,0,2,0,1,4,1,0,3,0,3,0,1,0,0,1,1
0,107917,100295,100781,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,5,0,16,6,0,0,3,1,1,0,1,0,2,2,13.32,1,0,1,0,5,6,7,14,12,0,5,0,1,0,0,0,0
0,125938,100295,100781,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,0,32,0,0,1,1,1,0,1,0,2,2,13.32,1,0,1,0,5,6,7,14,12,0,5,0,1,0,0,0,0
0,118877,100302,104301,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,0,7,4,0,0,3,0,1,0,0,0,4,3,18.6,1,1,3,1,3,2,5,8,6,1,3,0,0,0,1,0,0
0,109800,100309,103188,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,8,26,0,5,1,0,0,0,0,2,2,14.68,3,1,2,1,4,5,12,2,3,0,4,0,1,0,1,0,0
0,143979,100310,101367,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,0,0,5,0,0,1,1,1,0,1,0,3,2,20.44,1,0,2,0,4,4,0,9,18,10,3,0,1,0,0,0,0
0,142649,100311,110278,0,2,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,23,1,0,1,1,1,1,0,0,3,4,11.43,4,0,1,1,5,5,19,2,3,0,5,0,1,0,0,1,1
0,130452,100316,106973,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,10,30,0,0,3,1,1,0,0,0,4,4,19.75,1,1,3,1,3,1,5,9,3,9,4,0,0,0,1,0,0
0,124277,100322,102022,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,0,8,38,0,0,3,1,1,0,1,0,4,3,13.21,1,0,2,0,5,6,28,0,10,0,4,0,1,0,0,1,0
0,119025,100335,108231,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,0,35,0,1,1,1,1,0,1,0,3,3,17.93,1,0,2,1,4,4,17,0,3,0,4,0,1,0,0,1,0
0,115495,100338,103122,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,9,0,0,1,0,0,0,1,0,2,4,8.98,1,0,3,1,1,1,1,0,7,1,3,0,1,0,1,0,0
0,122619,100363,106941,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,5,0,10,10,0,0,3,1,1,0,0,0,2,4,11.53,1,1,3,1,4,2,3,13,14,0,4,0,1,0,1,0,0
0,130288,100376,110874,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,1,0,33,0,0,1,1,1,0,1,0,2,4,16.78,1,0,3,1,3,3,1,0,13,0,4,0,1,0,1,1,0
