CNTLNUM_T,SCHCNTL,CNTLNUM_P,label_Current,age_T,earnings_total,earnings_school,base_salary_T,num_dependents,dependents_age5,region_Midwest,region_Northeast,region_South,region_West,married,race_T_AIAN,race_T_Asian,race_T_Black,race_T_White,race_T_Hispanic,gender_T_Female,summer_teaching,nonteaching_job,nonschool_job,extracur_act,merit_pay,outside_pay,union_member,BA_major_STEM,MA_major_STEM,MA_grad_yr,field_cert_Regular,deg_T_MA,field_cert,deg_T_BA,deg_T_AA,deg_T_BA2,deg_T_MA2,deg_T_EdS,grad_cert,deg_T_Phd,pd_release_t,pd_schedule_t,pd_stipend,pd_tuition_r,pd_conference_r,pd_travel_r,would_be_tch,remain_teaching,field,hrs_tch_ELA,hrs_tch_math,hrs_tch_social,hrs_tch_science,hrs_in_school_wk,total_tch_yr,public_ft_exp,public_pt_exp,private_ft_exp,private_pt_exp,class_Departmentalized,class_Elementary,class_PullOut,class_Self,class_Team,field_same,full_time,teaches_ungraded,teaches_pk,teaches_k,teaches_1st,teaches_2nd,teaches_3rd,teaches_4th,teaches_5th,teaches_6th,teaches_7th,teaches_8th,teaches_9th,teaches_10th,teaches_11th,teaches_12th,new_teacher,private_exp,minority_students,minority_teachers,FRPL_eligible_pk,FRPL_eligible_k12,FRPL_approved_pk,FRPL_approved_k12,title_I_receive_number,stu_tch_ratio,vacnc_gen_elem,vacnc_spec_ed,vacnc_english,vacnc_soc_st,vacnc_comp_sci,vacnc_math,vacnc_biology,vacnc_phys_sci,vacnc_esl,vacnc_foreign_lang,vacnc_music_or_art,vacnc_vo_tech,type_Alternative,type_Elementary,type_Regular,type_Special,type_Voc_Tech,level_Combined,level_Elementary,level_Secondary,urbanicity_LargeCity,urbanicity_SmallTown,urbanicity_MidCity,FRPL_eligible,NLP_participate,title_I_reading,title_I_math,title_I_esl,title_I_receive,age_P,salary_P,yrs_P_this_sch,yrs_P_oth_schls,yrs_tch_before_P,yrs_tch_since_P,deg_P_Associate,deg_P_Bachelors,deg_P_Doctorate,deg_P_Edu,deg_P_Masters,race_P_AIAN,race_P_Asian,race_P_Black,race_P_White,race_P_Hispanic,gender_P_Female,incen_certification,incen_excellence,incen_prof_dev,incen_location,incen_reten,incen_reten_gen_elem,incen_reten_spec_ed,incen_reten_english,incen_reten_soc_studies,incen_reten_STEM_comp_sci,incen_reten_STEM_math,incen_reten_STEM_phys_sci,incen_reten_STEM_biology,incen_reten_esl,incen_reten_foreign_lang,incen_reten_music_art,incen_reten_voc_ed
134040,104049,108094,0,4,3,3,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,3,1,41,0,0,0,0,35,40,40,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,4,1,3,1,3,0,24.35,1,5,4,4,4,5,2,2,2,2,2,5,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,5,5,4,6,12,22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113617,104050,109906,0,4,3,3,5,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,5,3,16,7,1,1,40,25,25,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,3,0,14.0,3,3,4,2,2,6,4,2,2,5,2,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,2,3,0,0,22,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140782,104052,102014,0,1,2,2,2,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,4,5,16,0,0,0,0,40,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,1,2,1,2,0,17.13,1,5,1,1,4,5,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,5,3,6,12,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
127967,104057,100385,0,3,3,2,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,55,0,0,0,0,38,17,17,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,1,2,1,2,0,15.44,1,4,3,3,4,5,4,4,4,5,3,3,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,6,4,2,16,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0
147313,104070,104289,0,1,2,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,0,0,0,0,40,7,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,1,4,1,4,0,15.42,3,3,3,2,2,2,2,2,5,2,2,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,5,3,12,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
136096,104082,101711,0,4,4,4,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,3,2,25,22,0,0,0,35,30,30,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,3,1,3,0,13.53,1,4,5,4,4,2,2,2,2,2,4,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,5,5,0,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102674,104083,104905,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,20,0,0,0,0,40,2,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,4,1,4,1,4,0,3.14,3,5,2,2,2,2,4,4,1,2,5,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,2,8,14,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131946,104097,106688,0,4,3,3,4,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2,3,30,0,0,0,38,38,38,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,1,3,0,15.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,2,6,0,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127520,104098,100724,0,4,4,4,5,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,2,5,13,0,0,0,0,38,15,15,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,1,1,0,10.56,1,2,2,4,2,2,2,2,3,2,2,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,5,4,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115732,104115,108480,0,4,3,3,5,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,4,2,32,0,0,0,0,40,29,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,12.25,1,4,1,3,3,3,5,5,1,3,3,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,3,3,5,8,10,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1
107734,104121,102923,0,4,4,2,4,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,2,60,0,0,0,0,33,33,33,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,2,1,2,0,17.6,1,5,4,2,4,3,2,2,2,2,2,4,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,3,1,2,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125709,104144,101134,0,1,2,2,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,4,3,55,0,0,0,0,28,5,3,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,4,1,4,1,4,0,24.72,1,2,4,2,2,2,4,2,4,2,2,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,4,5,6,6,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101881,104145,100509,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,23,27,0,0,0,40,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,4,1,4,1,4,0,14.81,3,3,3,3,1,3,3,3,3,3,5,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0
131771,104152,101070,0,4,4,4,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,2,6,0,0,0,0,46,33,33,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,1,3,1,3,0,9.96,1,3,3,3,3,3,3,3,4,3,3,3,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,4,1,0,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116491,104153,103026,0,3,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,23,0,0,0,0,40,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4,3,1,4,1,1,0,21.23,1,5,2,3,4,5,4,5,5,5,4,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,4,4,0,11,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
101317,104165,101920,0,2,1,1,1,4,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,2,5,6,0,0,0,0,25,7,3,4,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,4,1,4,0,14.0,3,1,2,2,2,5,2,2,2,2,2,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,5,0,7,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138015,104171,108363,0,2,3,3,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,3,43,0,0,0,0,38,7,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,3,1,2,1,2,0,18.18,1,3,3,3,4,5,4,4,1,4,3,4,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,5,5,14,15,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110336,104197,108711,0,2,2,2,1,8,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,2,5,40,0,0,0,0,38,4,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,3,1,3,0,15.84,1,5,3,1,3,3,1,1,5,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,4,4,5,8,5,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118395,104198,102334,0,3,2,2,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,4,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,2,1,33,0,0,0,0,40,10,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,3,1,4,0,0,0,13.18,1,2,2,3,2,4,4,2,2,2,2,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,4,3,4,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
110122,104206,104493,0,2,3,3,4,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,36,0,0,0,0,37,15,15,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,3,1,3,0,14.58,1,1,4,1,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5,3,8,0,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110683,104221,101209,0,4,4,4,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,0,0,0,0,51,31,31,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1,2,1,2,0,17.87,1,2,3,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,5,5,9,6,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111970,104223,103024,0,2,1,1,1,3,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,4,3,55,14,12,0,0,40,12,12,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,2,1,1,3,1,3,0,9.27,1,2,2,3,2,2,2,2,2,2,5,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134172,104223,103024,0,3,1,1,1,5,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5,41,15,4,0,5,45,3,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,3,1,3,0,9.27,1,2,2,3,2,2,2,2,2,2,5,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140986,104252,108490,0,2,3,3,4,4,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,4,3,3,14,5,3,3,40,13,13,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,4,1,4,4,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,5,3,13,0,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121508,104257,104456,0,4,4,4,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,3,10,5,2,3,35,32,32,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,11.77,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4,5,3,0,29,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
